event_name,event_type,start_date,end_date,venue,address,organizer,entry_fee,description,website,phone,category,frequency,state,country,created_date,predicted
USPSA Practical Pistol Match,Competition,2025-11-16,2025-11-16,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Lewiston,Gun Show,2025-11-22,2025-11-23,Nez Perce County Fairgrounds,"1229 Burrell Avenue, Lewiston, ID 83501",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2025-12-06,2025-12-06,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Post,Gun Show,2025-12-06,2025-12-07,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2025-12-13,2025-12-13,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2025-12-13,2025-12-13,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Pocatello,Gun Show,2025-12-13,2025-12-14,Mountain View Event Center,"1567 Way To Grace, Pocatello, ID 83201",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Coeur,Gun Show,2025-12-20,2025-12-21,Kootenai County Fairgrounds,"4056 N Government Way, Coeur d'Alene, ID 83815",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2025-12-21,2025-12-21,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-01-03,2026-01-03,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Nampa,Gun Show,2026-01-04,2026-01-05,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2026-01-10,2026-01-10,Gem County Rod & Gun Club,"3600 E Main St, Emmett, ID 83617",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-01-10,2026-01-10,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Post,Gun Show,2026-01-11,2026-01-12,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-01-18,2026-01-18,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-02-07,2026-02-07,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Idaho,Gun Show,2026-02-08,2026-02-09,Bonneville County Fairgrounds,"1542 E 73rd S, Idaho Falls, ID 83404",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2026-02-14,2026-02-14,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-02-14,2026-02-14,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Leather & Lace Fast Draw,Competition,2026-02-14,2026-02-15,TBD Boise Area,"Boise, ID",Cowboy Fast Draw Association,$50,Fast draw competition in the spirit of the Old West,cowboyfastdraw.com,TBD,Competition,Annual,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-02-15,2026-02-15,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Coeur,Gun Show,2026-02-15,2026-02-16,Kootenai County Fairgrounds,"4056 N Government Way, Coeur d'Alene, ID 83815",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-03-07,2026-03-07,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Nampa,Gun Show,2026-03-07,2026-03-08,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2026-03-14,2026-03-14,South East Idaho Practical Shooters,"TBD, Idaho Falls area",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Post,Gun Show,2026-03-14,2026-03-15,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-03-14,2026-03-14,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-03-15,2026-03-15,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Snake River Standoff PRS Match,Competition,2026-03-21,2026-03-22,High Desert Range,"Bliss, ID area",Lone Peak Arms,$175,PRS sanctioned precision rifle competition in Idaho's high desert terrain,precisionrifleseries.com,TBD,Competition,Annual,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-04-04,2026-04-04,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Nampa,Gun Show,2026-04-05,2026-04-06,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
IAWCA CMP High Power Rifle Match,Competition,2026-04-07,2026-04-07,Black's Creek Public Shooting Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Idaho Automatic Weapons Collectors Association,$15,CMP sanctioned high power rifle match for service rifles,iawca.org,208-465-0970,Competition,Monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2026-04-11,2026-04-11,Gem County Rod & Gun Club,"3600 E Main St, Emmett, ID 83617",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-04-11,2026-04-11,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Coeur,Gun Show,2026-04-12,2026-04-13,Kootenai County Fairgrounds,"4056 N Government Way, Coeur d'Alene, ID 83815",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
NRA High Power 800 Aggregate Match,Competition,2026-04-18,2026-04-18,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$35,"NRA sanctioned high power rifle match shot at 200, 300, and 600 yards",nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
NRA Mid-Range Rifle Match,Competition,2026-04-19,2026-04-19,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$25,NRA mid-range precision rifle competition,nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-04-19,2026-04-19,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-05-02,2026-05-02,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Idaho,Gun Show,2026-05-03,2026-05-04,Bonneville County Fairgrounds,"1542 E 73rd S, Idaho Falls, ID 83404",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
IAWCA CMP High Power Rifle Match,Competition,2026-05-05,2026-05-05,Black's Creek Public Shooting Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Idaho Automatic Weapons Collectors Association,$15,CMP sanctioned high power rifle match for service rifles,iawca.org,208-465-0970,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-05-09,2026-05-09,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2026-05-09,2026-05-09,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Moscow,Gun Show,2026-05-10,2026-05-11,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
Parma Precision Rifle Rumble VIII,Competition,2026-05-16,2026-05-17,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Parma Rod & Gun Club,$150,PRS sanctioned precision rifle competition in Idaho's high desert,parmarng.org,208-850-7097,Competition,Annual,ID,USA,2025-08-18,True
NRA High Power 800 Aggregate Match,Competition,2026-05-16,2026-05-16,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$35,"NRA sanctioned high power rifle match shot at 200, 300, and 600 yards",nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Nampa,Gun Show,2026-05-17,2026-05-18,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-05-17,2026-05-17,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
NRA Mid-Range Rifle Match,Competition,2026-05-17,2026-05-17,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$25,NRA mid-range precision rifle competition,nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Northwest Territorial Championship,Championship,2026-05-22,2026-05-24,TBD Caldwell Area,"Caldwell, ID",Cowboy Fast Draw Association,$75,Regional fast draw championship for the Pacific Northwest,cowboyfastdraw.com,TBD,Championship,Annual,ID,USA,2025-08-18,True
Day Mountain Ranch ELR Challenge,Competition,2026-05-23,2026-05-25,Day Mountain Ranch,"77 S Spring Creek Rd, Preston, ID 83263",DMR Gun & Knife Works,$200,Extreme Long Range shooting competition with meals included,dmrgunandknifeworks.com,TBD,Competition,Annual,ID,USA,2025-08-18,True
LE Firearms Conference (Advanced),Training,2026-05-27,2026-05-28,Double Tapp Range,"14010 E Double Tapp Lane, Boise, ID 83716",Idaho POST,$200,Advanced law enforcement firearms training conference,post.idaho.gov,208-577-3563,Training,Annual,ID,USA,2025-08-18,True
Great Idaho Gun Show - Post,Gun Show,2026-05-31,2026-06-01,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
IAWCA CMP High Power Rifle Match,Competition,2026-06-02,2026-06-02,Black's Creek Public Shooting Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Idaho Automatic Weapons Collectors Association,$15,CMP sanctioned high power rifle match for service rifles,iawca.org,208-465-0970,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-06-06,2026-06-06,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
High Desert 3-Gun Championship,Competition,2026-06-12,2026-06-14,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Parma Rod & Gun Club,$200,"3-day 3-gun championship featuring rifle, pistol, and shotgun on every stage",parmarng.org,208-850-7097,Competition,Annual,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2026-06-13,2026-06-13,South East Idaho Practical Shooters,"TBD, Idaho Falls area",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2026-06-13,2026-06-13,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
4-H Shooting Sports Competition,Youth Competition,2026-06-14,2026-06-14,Unified Sportsmens Club,"9029 ID-33, Rexburg, ID 83440",Idaho 4-H Extension,$15,Youth shooting sports competition including archery and firearms,uidaho.edu/extension,208-351-3415,Youth Competition,Annual,ID,USA,2025-08-18,True
NRA High Power 800 Aggregate Match,Competition,2026-06-20,2026-06-20,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$35,"NRA sanctioned high power rifle match shot at 200, 300, and 600 yards",nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
NRA Mid-Range Rifle Match,Competition,2026-06-21,2026-06-21,Nampa Rod & Gun Club Outdoor Range,"15053 Bennett Rd, Nampa, ID 83687",Nampa Rod & Gun Club,$25,NRA mid-range precision rifle competition,nragc.com,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-06-21,2026-06-21,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Post,Gun Show,2026-06-28,2026-06-29,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2026-07-04,2026-07-04,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
IAWCA CMP High Power Rifle Match,Competition,2026-07-07,2026-07-07,Black's Creek Public Shooting Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Idaho Automatic Weapons Collectors Association,$15,CMP sanctioned high power rifle match for service rifles,iawca.org,208-465-0970,Competition,Monthly,ID,USA,2025-08-18,True
